company_name	company_number	reg_address_post_town	reg_address_county	reg_address_country	reg_address_post_code	company_status	sic_code
"11 WORLDWIDE LTD"	10458636	LONDON	""	ENGLAND	"SW1V 1 DX"	Active	82990
"123 COLDERSHAW ROAD FREEHOLD LTD"	10354096	LONDON	""	"UNITED KINGDOM"	"SW6 7 JJ"	Active	68209
"13 MANOR PARK MANAGEMENT COMPANY LTD"	09799452	LONDON	""	"UNITED KINGDOM"	"SE13 5Q2"	Active	98000
"14 ST HELENS GARDENS MANAGEMENT COMPANY LIMITED"	06738554	LONDON	""	""	"W10 6L7"	Active	98000
"16 ELGIN CRESCENT LIMITED"	10648831	LONDON	""	""	"W8 6S"	Active	68209
"181 OLD BROMPTON ROAD RTM COMPANY LIMITED"	07475313	LONDON	""	""	"SW5 OAN"	Active	98000
"226 EARLSFIELD ROAD MANAGEMENT LIMITED"	07619582	LONDON	""	""	"SW18 3DXQ"	Active	98000
"23 ENDYMION ROAD LIMITED"	07595893	LONDON	""	""	"N4 1DY."	Active	68209
"25 MOWBRAY ROAD"	10431758	LONDON	""	ENGLAND	"WC2H 9 JQ"	Active	68320
"27 PONT STREET LIMITED"	00835058	LONDON	""	""	"SW1X OAZ"	Active	98000
"367 FPR LTD"	10015102	LONDON	""	"UNITED KINGDOM"	"W1U 3ET."	Active	68100
"3A(UK) LIMITED"	07624869	LONDON	LONDON	""	"NW1 ONH"	Active	86900
"46 BALLATER ROAD LIMITED"	07764022	LONDON	""	""	"SW 5QR"	"Active - Proposal to Strike off"	99999
"59 ST. ANNS ROAD MANAGEMENT COMPANY LIMITED"	07343199	LONDON	""	""	"E15 15Y"	Active	68320
"76 DALLING ROAD LIMITED"	06141471	LONDON	""	""	"W6 OJA"	Active	98000
"80 ELM PARK GARDENS LIMITED"	04857073	LONDON	""	""	"W14 OQH"	Active	98000
"A & SONS PROPERTIES LIMITED"	10028742	LONDON	""	ENGLAND	"E 1 1JE"	Active	68100
"A KUMAR SINGH LTD"	10473801	LONDON	""	"UNITED KINGDOM"	"WCIN 3AX"	Active	62020
"A SUTTON LIMITED"	07105603	LONDON	""	""	"NW11 OAH"	Active	70100
"A&J ENGINEERING SERVICES LTD"	07479667	LONDON	""	ENGLAND	"N17 GU"	Active	33120
"A.J.FARMER LIMITED"	00827232	LONDON	""	""	"WIG 8DH"	Active	47190
"A2 GROUP DEVELOPMENT & SERVICE LTD"	10790496	LONDON	""	"UNITED KINGDOM"	"WCIN 3AX"	Active	62020
"ABDUL R LTD"	10494160	LONDON	""	"UNITED KINGDOM"	"WCIN 3AX"	Active	62020
"ADR NEWCASTLE LIMITED"	10263009	LONDON	""	"UNITED KINGDOM"	"SWIV 3BX"	Active	69101
"ADR NORTH LIMITED"	10266252	LONDON	""	"UNITED KINGDOM"	"SWIV 3BX"	Active	69101
"ADVANCED GLOBAL IDEAS UK LIMITED"	08235871	LONDON	""	""	"EC1V   4PY"	Active	82990
"AFFCO EUROPE LIMITED"	04834758	LONDON	""	""	"ECIR 0BD"	Active	46320
"AFRICAN WOMEN IN BUSINESS LIMITED"	10729897	LONDON	""	"UNITED KINGDOM"	"W1H 6H"	Active	94990
"AGARWAL LTD"	10472258	LONDON	""	"UNITED KINGDOM"	"WCIN 3AX"	Active	62020
"AGRO PRODUCE UK LIMITED"	07773206	LONDON	""	""	"E16 IHN"	Active	01420
"ALBEMARLE EDUCATION LTD."	03387138	LONDON	""	""	"NW11 *ED"	Active	85310
"ALCHEMIST (FRANCE) LIMITED"	10791203	LONDON	""	"UNITED KINGDOM"	"EC3 V 3QQ"	Active	77400
"ALEXANDER THE GREAT CENTER OF LEARNING LIMITED"	09366682	LONDON	""	"UNITED KINGDOM"	"E1 3AA UK"	"Active - Proposal to Strike off"	85310
"ALEXANDERS OPTICIANS LTD"	08409488	LONDON	""	""	"N2 OPE"	Active	47782
"ALIGN COURIERS LTD"	10331023	LONDON	""	"UNITED KINGDOM"	"E13 DZ"	Active	96090
